,Unnamed: 0,id,EVENTMSGTYPE,x,y,z,game_clock,rankc
12402,545430,0021500384_71,1,5.07411,25.73894,9.2404,314.41,33
12403,545464,0021500385_117,2,4.3360199999999995,22.008000000000003,9.02788,214.5,34
12404,545496,0021500385_12,1,5.46506,24.72952,9.285810000000001,594.53,32
12405,545527,0021500385_128,2,4.73592,27.03851,9.19712,103.02,31
12406,545572,0021500385_141,2,8.548060000000001,25.82757,9.4487,602.06,45
12407,545619,0021500385_144,2,12.6847,18.313779999999998,9.72604,574.72,47
12408,545653,0021500385_149,1,5.16258,24.20297,9.06398,515.23,34
12409,545691,0021500385_153,1,5.72779,24.08384,9.31367,447.93,38
12410,545745,0021500385_162,2,15.585429999999999,19.08142,8.768289999999999,326.31,54
12411,545796,0021500385_163,2,9.380469999999999,21.74333,9.21777,322.67,51
12412,545826,0021500385_166,2,5.30344,23.78421,9.10972,294.43,30
12413,545844,0021500385_175,1,5.13357,25.220679999999998,9.346260000000001,124.24,18
12414,545888,0021500385_18,2,8.48586,25.305429999999998,9.20345,534.72,44
12415,545940,0021500385_2,2,13.370029999999998,32.79691,8.43031,696.48,52
12416,545987,0021500385_200,2,5.99392,30.10828,9.47258,527.27,47
12417,546030,0021500385_201,2,11.34352,25.982120000000002,9.22309,522.72,43
12418,546064,0021500385_204,1,4.79063,25.594,9.12252,502.11,34
12419,546098,0021500385_21,1,5.40731,25.13709,9.3898,507.17,34
12420,546150,0021500385_217,2,8.97711,29.1351,9.24996,339.82,52
12421,546192,0021500385_218,2,6.89257,27.218420000000002,10.78015,335.31,42
12422,546222,0021500385_220,1,5.70986,24.65113,10.384310000000001,307.21,30
12423,546272,0021500385_225,2,4.19583,33.87599,9.13905,270.37,50
12424,546304,0021500385_229,2,7.228219999999999,22.709,9.29763,233.26,32
12425,546331,0021500385_237,2,8.15414,24.40578,9.09365,146.64,27
12426,546410,0021500385_240,2,7.600639999999999,28.189690000000002,9.02781,85.42,79
12427,546443,0021500385_242,2,5.88186,23.87875,9.15017,71.28,33
12428,546505,0021500385_243,2,7.235869999999999,26.15963,9.05113,56.44,62
12429,546541,0021500385_245,2,7.2285699999999995,24.67377,9.14235,29.05,36
12430,546574,0021500385_40,1,4.8981699999999995,24.8799,9.452169999999999,318.1,33
12431,546622,0021500385_52,2,9.18106,27.1627,9.25357,192.38,48
